skills1,skills2,skills3,skills4,title
team_management,user_interface,agile,python,Project_Manager
security,user_interface,banking,documentation,Project_Manager
risk_management,user_interface,financial_modeling,documentation,Project_Manager
python,user_interface,project_management,security,Project_Manager
problem_management,user_interface,time_management,agile,Project_Manager
javascript,user_interface,reactjs,html5,Full_Stack_Developer
economics,user_interface,data_analysis,scrum,Project_Manager
corporate,user_interface,docker,team_management,Project_Manager
corporate,user_interface,docker,team_management,Project_Manager
api,user_interface,salesforce,apex,Full_Stack_Developer
api,user_interface,salesforce,apex,Full_Stack_Developer
analytics,user_interface,salesforce,salesforce,Project_Manager
user_interface,user_experience,data_analysis,salesforce_lightning,Full_Stack_Developer
mongodb,user_experience,ecmascript,jmeter,QA_Analyst
mongodb,user_experience,ecmascript,jmeter,QA_Analyst
java,user_experience,data_mining,artificial_intelligence,QA_Analyst
d3.js,user_experience,elasticsearch,regression_testing,QA_Analyst
d3.js,user_experience,elasticsearch,regression_testing,QA_Analyst
d3.js,user_experience,elasticsearch,regression_testing,QA_Analyst
test_automation,unix,jira,aws,QA_Analyst
test_automation,unix,jira,aws,QA_Analyst
test_automation,unix,jira,aws,QA_Analyst
selenium,unix,test_automation,bash,QA_Analyst
sdlc,unix,jira,python,QA_Analyst
sdlc,unix,jira,python,QA_Analyst
rest,unix,scripting,regression_testing,QA_Analyst
r,unix,mongodb,python,QA_Analyst
python,unix,r,ecmascript,QA_Analyst
hadoop,unix,sdlc,sql,QA_Analyst
hadoop,unix,bash,aws,QA_Analyst
hadoop,unix,bash,aws,QA_Analyst
hadoop,unix,bash,aws,QA_Analyst
etl,unix,test_automation,java,QA_Analyst
etl,unix,rest,jmeter,QA_Analyst
etl,unix,rest,jmeter,QA_Analyst
etl,unix,rest,jmeter,QA_Analyst
bash,unix,r,user_experience,QA_Analyst
aws,unix,bash,java,QA_Analyst
c#,uml,javascript,dependency_management,Full_Stack_Developer
.net,uipath,c#,artificial_intelligence,Data_Engineer
uidesign,uidesign,typography,ideation,Graphic_Designer
uidesign,uidesign,ideation,typography,Graphic_Designer
sketch,uidesign,css,uxdesign,Graphic_Designer
sketch,uidesign,ideation,photoshop,Graphic_Designer
photoshop,uidesign,typography,photoshop,Graphic_Designer
photoshop,uidesign,typography,css,Graphic_Designer
photoshop,uidesign,typography,uxdesign,Graphic_Designer
indesign,uidesign,uidesign,html,Graphic_Designer
illustrator,uidesign,uidesign,ideation,Graphic_Designer
illustrator,uidesign,photoshop,uidesign,Graphic_Designer
ideation,uidesign,ideation,typography,Graphic_Designer
css,uidesign,css,uidesign,Graphic_Designer
branding,uidesign,illustrator,photoshop,Graphic_Designer
branding,uidesign,illustrator,typography,Graphic_Designer
branding,uidesign,illustrator,typography,Graphic_Designer
branding,uidesign,illustrator,typography,Graphic_Designer
branding,uidesign,illustrator,typography,Graphic_Designer
branding,uidesign,illustrator,typography,Graphic_Designer
branding,uidesign,illustrator,typography,Graphic_Designer
uidesign,typography,branding,ideation,Graphic_Designer
typography,typography,illustrator,uxdesign,Graphic_Designer
typography,typography,illustrator,illustrator,Graphic_Designer
sketch,typography,branding,sketch,Graphic_Designer
photoshop,typography,photoshop,typography,Graphic_Designer
photoshop,typography,css,uidesign,Graphic_Designer
photoshop,typography,uidesign,html,Graphic_Designer
photoshop,typography,branding,ideation,Graphic_Designer
indesign,typography,photoshop,sketch,Graphic_Designer
indesign,typography,ideation,ideation,Graphic_Designer
indesign,typography,branding,ideation,Graphic_Designer
illustrator,typography,photoshop,indesign,Graphic_Designer
illustrator,typography,illustrator,typography,Graphic_Designer
illustrator,typography,branding,uidesign,Graphic_Designer
illustrator,typography,typography,branding,Graphic_Designer
illustrator,typography,indesign,indesign,Graphic_Designer
ideation,typography,branding,photoshop,Graphic_Designer
ideation,typography,typography,sketch,Graphic_Designer
ideation,typography,photoshop,typography,Graphic_Designer
html,typography,illustrator,indesign,Graphic_Designer
html,typography,typography,css,Graphic_Designer
html,typography,html,html,Graphic_Designer
html,typography,branding,illustrator,Graphic_Designer
html,typography,branding,illustrator,Graphic_Designer
html,typography,branding,illustrator,Graphic_Designer
html,typography,branding,illustrator,Graphic_Designer
html,typography,branding,illustrator,Graphic_Designer
html,typography,branding,illustrator,Graphic_Designer
css,typography,illustrator,typography,Graphic_Designer
branding,typography,ideation,indesign,Graphic_Designer
branding,typography,sketch,typography,Graphic_Designer
branding,typography,photoshop,indesign,Graphic_Designer
reactjs,typescript,d3.js,ecmascript,Full_Stack_Developer
reactjs,typescript,postgresql,elasticsearch,Full_Stack_Developer
reactjs,typescript,d3.js,ecmascript,QA_Analyst
reactjs,typescript,d3.js,ecmascript,Full_Stack_Developer
.net,typescript,blockchain,java,Full_Stack_Developer
.net,typescript,blockchain,java,Full_Stack_Developer
operations_research,transport,data_analysis,data_warehouse,Full_Stack_Developer
time_management,time_management,leadership,analytics,Project_Manager
leadership,time_management,data_analysis,user_interface,Project_Manager
engineering_design,time_management,jira,data_analysis,Project_Manager
engineering_design,time_management,jira,data_analysis,Project_Manager
budgeting,time_management,agile,data_analysis,Project_Manager
reactjs,three.js,d3.js,redux,Full_Stack_Developer
security,threat_model,testing,elasticsearch,Full_Stack_Developer
security,testing,elasticsearch,oracle,QA_Analyst
sdlc,testing,scripting,testing,QA_Analyst
qa,testing,software_quality,analysis,QA_Analyst
qa,testing,end_to_end,sdlc,Project_Manager
qa,testing,automation,visual_studio,Data_Engineer
qa,testing,automation,oop,Full_Stack_Developer
qa,testing,automated_tests,salesforce_lightning,QA_Analyst
qa,testing,javascript,testrail,Data_Engineer
qa,testing,automated_tests,security,QA_Analyst
python,testing,sql,bigdata,Data_Engineer
jira,testing,user_experience,hadoop,QA_Analyst
aws,testing,unix,elasticsearch,QA_Analyst
automation,testing,python,unit_testing,Data_Engineer
automation,testing,qa,bigdata,Full_Stack_Developer
automation,testing,automated_tests,ios,Data_Engineer
automated_tests,testing,security,spark,Full_Stack_Developer
testing,test_automation,apex,selenium,QA_Analyst
testing,test_automation,apex,selenium,QA_Analyst
test_automation,test_automation,etl,java,QA_Analyst
sql,test_automation,jira,d3.js,QA_Analyst
spacy,test_automation,apex,jmeter,QA_Analyst
selenium,test_automation,hadoop,jira,QA_Analyst
security,test_automation,sql,aws,QA_Analyst
sdlc,test_automation,jmeter,ecmascript,QA_Analyst
sdlc,test_automation,bash,mongodb,QA_Analyst
sdlc,test_automation,regression_testing,hadoop,QA_Analyst
scripting,test_automation,sdlc,selenium,QA_Analyst
scripting,test_automation,sdlc,selenium,QA_Analyst
scripting,test_automation,sdlc,selenium,QA_Analyst
scala,test_automation,sql,sdlc,QA_Analyst
scala,test_automation,jira,java,QA_Analyst
scala,test_automation,jira,java,QA_Analyst
scala,test_automation,jira,java,QA_Analyst
r,test_automation,apex,elasticsearch,QA_Analyst
python,test_automation,bash,jira,QA_Analyst
python,test_automation,sdlc,aws,QA_Analyst
python,test_automation,sdlc,aws,QA_Analyst
mongodb,test_automation,scala,apex,QA_Analyst
mongodb,test_automation,c++,spacy,QA_Analyst
mongodb,test_automation,c++,spacy,QA_Analyst
mongodb,test_automation,c++,spacy,QA_Analyst
jira,test_automation,jmeter,java,QA_Analyst
java,test_automation,rest,elasticsearch,QA_Analyst
java,test_automation,rest,elasticsearch,QA_Analyst
elasticsearch,test_automation,sql,sdlc,QA_Analyst
d3.js,test_automation,jmeter,r,QA_Analyst
d3.js,test_automation,jmeter,r,QA_Analyst
aws,test_automation,java,python,QA_Analyst
apex,test_automation,salesforce,jira,QA_Analyst
apex,test_automation,salesforce,jira,QA_Analyst
apex,test_automation,salesforce,jira,QA_Analyst
python,tensorflow,amazon_web_services,time_series,Full_Stack_Developer
python,tensorflow,google_cloud_platform,docker,Data_Engineer
go,tensorflow,google_cloud_platform,reactjs,Full_Stack_Developer
agile,team_management,team_management,jira,Project_Manager
t_sql,tableau,ms_excel,r_studio,Data_Engineer
t_sql,tableau,ms_excel,data_warehouse,Data_Engineer
sql_server,tableau,powerbi,mongodb,Data_Engineer
sql,tableau,powerbi,data_warehouse,Data_Engineer
sql,tableau,pentaho,qlikview,Project_Manager
nodejs,symfony2,elasticsearch,reactjs,Full_Stack_Developer
php,symfony,reactjs,java,Full_Stack_Developer
ios,swift,sqlite,agile,Full_Stack_Developer
user_interface,strategic_planning,agile,financial_modeling,Project_Manager
strategic_planning,strategic_planning,project_management,analytics,Project_Manager
security,strategic_planning,data_analysis,financial_modeling,Project_Manager
security,strategic_planning,data_analysis,financial_modeling,Project_Manager
financial_modeling,strategic_planning,agile,project_management,Project_Manager
financial_modeling,strategic_planning,agile,analytics,Project_Manager
documentation,strategic_planning,cad,azure,Project_Manager
communication_skills,strategic_planning,continuous_integration,cad,Project_Manager
cad,strategic_planning,agile,agile,Project_Manager
business_intelligence,strategic_planning,agile,leadership,Project_Manager
business_intelligence,strategic_planning,agile,leadership,Project_Manager
artificial_intelligence,strategic_planning,docker,security,Project_Manager
agile,strategic_planning,problem_solving,python,Project_Manager
hadoop,storage,puppet,apache_kafka,Data_Engineer
c++,stl,multithreading,machine_learning,Data_Engineer
sql,ssis,database,data_warehouse,Data_Engineer
etl,ssis,olap,tableau,Data_Engineer
etl,ssis,olap,tableau,Data_Engineer
ssis,sql_server,reporting_services,data_warehouse,Data_Engineer
sql,sql_server,data_warehouse,business_intelligence,Full_Stack_Developer
sql,sql_server,data_warehouse,etl,Full_Stack_Developer
sql,sql_server,apache_spark,mangodb,Full_Stack_Developer
sql,sql_server,ssis,bigdata,Data_Engineer
sql,sql_server,database,bigdata,Data_Engineer
sql,sql_server,apache_spark,scala,Data_Engineer
database,sql_server,ssis,architecture,Project_Manager
c#,sql_server,mvvm,wpf,Full_Stack_Developer
tdd,sql,ruby,git,Data_Engineer
tableau,sql,artificial_intelligence,agile,Data_Engineer
tableau,sql,user_experience,user_interface,Project_Manager
tableau,sql,r,javascript,Data_Engineer
t_sql,sql,nosql,data_warehouse,Data_Engineer
statistics,sql,machine_learning,data_science,Data_Engineer
soa,sql,crm,bigdata,Data_Engineer
selenium,sql,apex,elasticsearch,QA_Analyst
selenium,sql,apex,elasticsearch,QA_Analyst
sdlc,sql,salesforce,jmeter,QA_Analyst
scripting,sql,software_development,unix,QA_Analyst
scripting,sql,software_development,unix,QA_Analyst
ruby,sql,java,python,Full_Stack_Developer
regression_testing,sql,aws,scala,QA_Analyst
regression_testing,sql,aws,scala,QA_Analyst
regression_testing,sql,aws,scala,QA_Analyst
r,sql,data_analysis,statistics,Full_Stack_Developer
python,sql,snowflake_datawarehouse,etl,Data_Engineer
python,sql,pandas,numpy,Data_Engineer
python,sql,amazon_web_services,amazon_ec2,Full_Stack_Developer
python,sql,machine_learning,amazon_web_services,Full_Stack_Developer
python,sql,javascript,tableau,Data_Engineer
python,sql,tensorflow,gis,Project_Manager
python,sql,machine_learning,aws,Data_Engineer
python,sql,hadoop,apache_spark,Data_Engineer
python,sql,deep_learning,bigdata,Data_Engineer
python,sql,django,apache_spark,Full_Stack_Developer
python,sql,snowflake_datawarehouse,etl,Data_Engineer
python,sql,pandas,numpy,Data_Engineer
project_management,sql,design,system,Full_Stack_Developer
oracle,sql,plsql,database,Data_Engineer
oracle,sql,java,c++,Full_Stack_Developer
octave,sql,google_analytics,matlab,Data_Engineer
machine_learning,sql,python,r,Full_Stack_Developer
machine_learning,sql,data_mining,hadoop,Data_Engineer
jmeter,sql,java,ecmascript,QA_Analyst
jira,sql,hadoop,salesforce,QA_Analyst
jira,sql,hadoop,salesforce,QA_Analyst
java,sql,machine_learning,hadoop,Data_Engineer
java,sql,etl,data_warehouse,Data_Engineer
java,sql,html,javascript,Full_Stack_Developer
java,sql,nosql,data_science,Data_Engineer
java,sql,html,css,Data_Engineer
java,sql,spring,hadoop,Full_Stack_Developer
java,sql,etl,data_warehouse,Data_Engineer
java,sql,machine_learning,hadoop,Data_Engineer
hadoop,sql,bash,python,QA_Analyst
etl,sql,hadoop,c#,Data_Engineer
etl,sql,apache_spark,java,Data_Engineer
etl,sql,data_warehouse,business_intelligence,Project_Manager
etl,sql,informatica,data_modeling,Full_Stack_Developer
etl,sql,scripting,d3.js,QA_Analyst
etl,sql,hadoop,c#,Data_Engineer
etl,sql,apache_spark,java,Data_Engineer
elasticsearch,sql,python,bash,QA_Analyst
elasticsearch,sql,python,bash,QA_Analyst
database,sql,hadoop,python,Full_Stack_Developer
database,sql,r,mongodb,QA_Analyst
data_warehouse,sql,etl,python,QA_Analyst
azure,sql,nosql,data_security,Data_Engineer
aws,sql,bash,jira,QA_Analyst
apex,sql,python,django,Full_Stack_Developer
apache_spark,sql,data_warehouse,java,Data_Engineer
analytics,sql,data_structures,data_science,Full_Stack_Developer
spring,spring_mvc,java,javascript,Full_Stack_Developer
jsf,spring,hibernate,postgresql,Data_Engineer
jsf,spring,hibernate,postgresql,Data_Engineer
java,spring,java_ee,javascript,Data_Engineer
java,spring,hadoop,amazon_web_services,Full_Stack_Developer
java,spring,amazon_web_services,mysql,Full_Stack_Developer
java,spring,agile,lucene,Full_Stack_Developer
data_science,spark_streaming,hadoop,data_analysis,Data_Engineer
scala,spark,flink,kafka,Data_Engineer
hadoop,spark,bigdata,machine_learning,Full_Stack_Developer
apache_spark,spark,java,mangodb,Data_Engineer
amazon_web_services,spark,java,python,Data_Engineer
selenium,spacy,r,bash,QA_Analyst
sdlc,spacy,scripting,selenium,QA_Analyst
sdlc,spacy,scripting,selenium,QA_Analyst
regression_testing,spacy,rest,regression_testing,QA_Analyst
regression_testing,spacy,rest,regression_testing,QA_Analyst
regression_testing,spacy,rest,regression_testing,QA_Analyst
python,spacy,elasticsearch,amazon_web_services,QA_Analyst
python,spacy,testing,nodejs,QA_Analyst
python,spacy,testing,nodejs,QA_Analyst
nodejs,spacy,database,elasticsearch,QA_Analyst
mongodb,spacy,jmeter,mongodb,QA_Analyst
mongodb,spacy,jmeter,mongodb,QA_Analyst
etl,spacy,elasticsearch,aws,QA_Analyst
ecmascript,spacy,java,sql,QA_Analyst
bigdata,solution,data_analysis,machine_learning,Data_Engineer
nlp,solr,lucene,java,Data_Engineer
java,softwareentwickler,java_ee,angularjs,Project_Manager
java,software_development,test_automation,scripting,QA_Analyst
php,soap,mongodb,mysql,Full_Stack_Developer
vpn,sme,cloud,eigrp,Network_Architect
ospf,sme,vmware,ospf,Network_Architect
ospf,sme,ipv6,nexus,Network_Architect
ospf,sme,ipv6,architecture,Network_Architect
nexus,sme,sme,nexus,Network_Architect
networksecurity,sme,cloud,vmware,Network_Architect
networksecurity,sme,sme,ospf,Network_Architect
networksecurity,sme,mpls,networksecurity,Network_Architect
networksecurity,sme,vmware,eigrp,Network_Architect
mpls,sme,networksecurity,networksecurity,Network_Architect
ipv6,sme,ospf,mpls,Network_Architect
ipv6,sme,networksecurity,eigrp,Network_Architect
ipv6,sme,vpn,mpls,Network_Architect
eigrp,sme,vpn,architecture,Network_Architect
eigrp,sme,networksecurity,cloud,Network_Architect
eigrp,sme,vmware,eigrp,Network_Architect
eigrp,sme,eigrp,eigrp,Network_Architect
eigrp,sme,ipv6,vmware,Network_Architect
cloud,sme,vmware,ospf,Network_Architect
cloud,sme,vmware,networksecurity,Network_Architect
cloud,sme,ipv6,eigrp,Network_Architect
architecture,sme,vpn,sme,Network_Architect
typography,sketch,typography,photoshop,Graphic_Designer
typography,sketch,typography,css,Graphic_Designer
typography,sketch,ideation,typography,Graphic_Designer
typography,sketch,branding,sketch,Graphic_Designer
sketch,sketch,uidesign,css,Graphic_Designer
photoshop,sketch,uidesign,illustrator,Graphic_Designer
indesign,sketch,uidesign,illustrator,Graphic_Designer
indesign,sketch,illustrator,indesign,Graphic_Designer
indesign,sketch,ideation,photoshop,Graphic_Designer
illustrator,sketch,photoshop,css,Graphic_Designer
illustrator,sketch,photoshop,css,Graphic_Designer
illustrator,sketch,photoshop,css,Graphic_Designer
illustrator,sketch,photoshop,css,Graphic_Designer
illustrator,sketch,photoshop,css,Graphic_Designer
illustrator,sketch,photoshop,css,Graphic_Designer
ideation,sketch,typography,photoshop,Graphic_Designer
ideation,sketch,typography,illustrator,Graphic_Designer
ideation,sketch,indesign,branding,Graphic_Designer
branding,sketch,typography,ideation,Graphic_Designer
branding,sketch,uidesign,illustrator,Graphic_Designer
branding,sketch,illustrator,ideation,Graphic_Designer
branding,sketch,typography,photoshop,Graphic_Designer
branding,sketch,typography,css,Graphic_Designer
matlab,simulink,canoe,can,Full_Stack_Developer
matlab,simulink,labview,algorithm,Full_Stack_Developer
r,shiny,agile,database,Data_Engineer
qa,selenium_webdriver,salesforce,automated_tests,Full_Stack_Developer
unix,selenium,sdlc,jira,QA_Analyst
unix,selenium,rest,spacy,QA_Analyst
spacy,selenium,unix,jmeter,QA_Analyst
spacy,selenium,spacy,python,QA_Analyst
spacy,selenium,unix,jmeter,QA_Analyst
spacy,selenium,spacy,python,QA_Analyst
spacy,selenium,unix,jmeter,QA_Analyst
spacy,selenium,spacy,python,QA_Analyst
selenium_webdriver,selenium,automated_tests,php,Data_Engineer
selenium,selenium,hadoop,sdlc,QA_Analyst
selenium,selenium,hadoop,sdlc,QA_Analyst
sdlc,selenium,scripting,c++,QA_Analyst
sdlc,selenium,scripting,c++,QA_Analyst
scripting,selenium,unix,bash,QA_Analyst
scripting,selenium,r,ecmascript,QA_Analyst
scripting,selenium,r,ecmascript,QA_Analyst
salesforce,selenium,etl,python,QA_Analyst
salesforce,selenium,etl,python,QA_Analyst
rest,selenium,sdlc,jira,QA_Analyst
python,selenium,jira,hadoop,QA_Analyst
python,selenium,jira,hadoop,QA_Analyst
python,selenium,jira,hadoop,QA_Analyst
nodejs,selenium,r,apex,QA_Analyst
jira,selenium,spacy,sql,QA_Analyst
jira,selenium,spacy,sql,QA_Analyst
java,selenium,scala,mongodb,Full_Stack_Developer
java,selenium,bash,python,QA_Analyst
java,selenium,unix,bash,QA_Analyst
java,selenium,sdlc,scripting,QA_Analyst
elasticsearch,selenium,bash,rest,QA_Analyst
ecmascript,selenium,sdlc,scala,QA_Analyst
ecmascript,selenium,jmeter,sdlc,QA_Analyst
ecmascript,selenium,jmeter,sdlc,QA_Analyst
time_management,security,project_management,azure,Project_Manager
testing,security,qa,python,Full_Stack_Developer
salesforce,security,data_analysis,communication_skills,Project_Manager
salesforce,security,economics,agile,Project_Manager
python,security,c++,x86,Full_Stack_Developer
project_management,security,r,sdlc,Data_Engineer
financial_modeling,security,salesforce,security,Project_Manager
economics,security,networking,diplomacy,Project_Manager
cad,security,networking,diplomacy,Project_Manager
budgeting,security,jira,docker,Project_Manager
budgeting,security,strategic_planning,python,Project_Manager
artificial_intelligence,security,user_interface,financial_modeling,Project_Manager
artificial_intelligence,security,project_management,banking,Project_Manager
analytics,security,data_analysis,analytics,Project_Manager
agile,security,banking,diplomacy,Project_Manager
agile,security,user_interface,financial_modeling,Project_Manager
agile,security,business_intelligence,networking,Project_Manager
agile,security,documentation,agile,Project_Manager
agile,security,user_interface,financial_modeling,Project_Manager
agile,security,documentation,agile,Project_Manager
sql,sdlc,unix,scala,QA_Analyst
spacy,sdlc,regression_testing,mongodb,QA_Analyst
spacy,sdlc,etl,unix,QA_Analyst
spacy,sdlc,etl,unix,QA_Analyst
spacy,sdlc,etl,unix,QA_Analyst
sdlc,sdlc,elasticsearch,bash,QA_Analyst
scripting,sdlc,aws,java,QA_Analyst
scala,sdlc,scala,r,QA_Analyst
scala,sdlc,scala,r,QA_Analyst
regression_testing,sdlc,scripting,java,QA_Analyst
r,sdlc,rest,jira,QA_Analyst
r,sdlc,rest,jira,QA_Analyst
r,sdlc,rest,jira,QA_Analyst
python,sdlc,qa,java,QA_Analyst
mongodb,sdlc,security,java,QA_Analyst
jmeter,sdlc,java,salesforce,QA_Analyst
jmeter,sdlc,elasticsearch,selenium,QA_Analyst
jmeter,sdlc,etl,scripting,QA_Analyst
jmeter,sdlc,etl,scripting,QA_Analyst
jira,sdlc,python,selenium,QA_Analyst
jira,sdlc,elasticsearch,selenium,QA_Analyst
jira,sdlc,elasticsearch,selenium,QA_Analyst
jira,sdlc,elasticsearch,selenium,QA_Analyst
java,sdlc,java,hadoop,QA_Analyst
java,sdlc,scala,ecmascript,QA_Analyst
java,sdlc,scala,ecmascript,QA_Analyst
java,sdlc,scala,ecmascript,QA_Analyst
ecmascript,sdlc,scala,python,QA_Analyst
ecmascript,sdlc,java,sdlc,QA_Analyst
ecmascript,sdlc,scala,python,QA_Analyst
ecmascript,sdlc,java,sdlc,QA_Analyst
ecmascript,sdlc,scala,python,QA_Analyst
ecmascript,sdlc,java,sdlc,QA_Analyst
database,sdlc,selenium,sql,QA_Analyst
database,sdlc,sql,sdlc,QA_Analyst
database,sdlc,sql,sdlc,QA_Analyst
database,sdlc,sql,sdlc,QA_Analyst
bash,sdlc,jira,sql,QA_Analyst
bash,sdlc,rest,user_experience,QA_Analyst
bash,sdlc,rest,user_experience,QA_Analyst
bash,sdlc,rest,user_experience,QA_Analyst
aws,sdlc,r,ecmascript,QA_Analyst
aws,sdlc,r,ecmascript,QA_Analyst
aws,sdlc,r,ecmascript,QA_Analyst
elasticsearch,sdk,java,aws,Full_Stack_Developer
qa,scrum,communication_skills,agile,Project_Manager
leadership,scrum,communication_skills,strategic_planning,Project_Manager
user_experience,scripting,scala,apex,QA_Analyst
user_experience,scripting,elasticsearch,etl,QA_Analyst
user_experience,scripting,scala,apex,QA_Analyst
user_experience,scripting,elasticsearch,etl,QA_Analyst
sql,scripting,python,salesforce,QA_Analyst
selenium,scripting,ecmascript,aws,QA_Analyst
selenium,scripting,spacy,sdlc,QA_Analyst
security,scripting,rest,sql,QA_Analyst
security,scripting,rest,sql,QA_Analyst
scala,scripting,sdlc,rest,QA_Analyst
scala,scripting,sdlc,rest,QA_Analyst
r,scripting,mongodb,sdlc,QA_Analyst
nodejs,scripting,apex,sdlc,QA_Analyst
nodejs,scripting,apex,sdlc,QA_Analyst
nodejs,scripting,apex,sdlc,QA_Analyst
java,scripting,hadoop,python,QA_Analyst
etl,scripting,database,selenium,QA_Analyst
etl,scripting,apex,test_automation,QA_Analyst
elasticsearch,scripting,selenium,scripting,QA_Analyst
apex,scripting,etl,sql,QA_Analyst
python,scikit_learn,numpy,tensorflow,Full_Stack_Developer
data,scientist,data_analysis,bigdata,Data_Engineer
scala,scalability,scala_collections,functional_programming,Data_Engineer
apache_spark,scalability,ruby_on_rails,etl,Full_Stack_Developer
user_experience,scala,test_automation,python,QA_Analyst
user_experience,scala,test_automation,python,QA_Analyst
test_automation,scala,java,r,QA_Analyst
test_automation,scala,java,r,QA_Analyst
test_automation,scala,java,r,QA_Analyst
sdlc,scala,elasticsearch,python,QA_Analyst
sdlc,scala,c++,java,QA_Analyst
sdlc,scala,scala,bash,QA_Analyst
sdlc,scala,c++,java,QA_Analyst
sdlc,scala,scala,bash,QA_Analyst
sdlc,scala,scala,bash,QA_Analyst
ruby_on_rails,scala,bigdata,go,Data_Engineer
rest,scala,jmeter,scripting,QA_Analyst
rest,scala,jmeter,scripting,QA_Analyst
rest,scala,jmeter,scripting,QA_Analyst
python,scala,bash,hadoop,QA_Analyst
python,scala,bash,hadoop,QA_Analyst
python,scala,bash,hadoop,QA_Analyst
mongodb,scala,ecmascript,jira,QA_Analyst
mongodb,scala,testing,java,QA_Analyst
jmeter,scala,java,d3.js,QA_Analyst
jmeter,scala,java,d3.js,QA_Analyst
jmeter,scala,java,d3.js,QA_Analyst
java,scala,python,aws,QA_Analyst
java,scala,aws,python,Full_Stack_Developer
java,scala,apache_spark,bigdata,Full_Stack_Developer
java,scala,hadoop,sql,Full_Stack_Developer
java,scala,jvm,hadoop,Data_Engineer
java,scala,apache_spark,hadoop,Full_Stack_Developer
hadoop,scala,python,bigdata,Data_Engineer
hadoop,scala,nosql,bigdata,Full_Stack_Developer
elasticsearch,scala,test_automation,python,QA_Analyst
ecmascript,scala,test_automation,java,QA_Analyst
c#,scala,reactjs,microservices,Full_Stack_Developer
c#,scala,cassandra,elasticsearch,Data_Engineer
apache_spark,scala,tableau,kubernetes,Data_Engineer
apache_spark,scala,sql,etl,Data_Engineer
apache_spark,scala,amazon_redshift,google_bigquery,Full_Stack_Developer
apache_spark,scala,amazon_web_services,bigdata,Data_Engineer
apache_spark,scala,java,hadoop,Full_Stack_Developer
apache_spark,scala,tableau,kubernetes,Data_Engineer
apache_spark,scala,sql,etl,Data_Engineer
agile,scala,salesforce,python,Full_Stack_Developer
agile,scala,hbase,apache_spark,Full_Stack_Developer
agile,scala,hbase,apache_spark,Data_Engineer
agile,scala,hbase,apache_spark,Full_Stack_Developer
agile,scala,hbase,apache_spark,Data_Engineer
sql,sas,informatica,etl,Full_Stack_Developer
r,sas,matlab,scala,Data_Engineer
salesforce,salesforce_lightning,javascript,angular,Data_Engineer
salesforce,salesforce_lightning,apex_code,visualforce,Full_Stack_Developer
salesforce,salesforce_lightning,etl,javascript,Data_Engineer
user_interface,salesforce,docker,leadership,Project_Manager
